file: /tmp/hang-fourcard-mspti-249457/mspti/mspti-249531.msflight
pid: 249531  records: 640  overwritten: 0  dropped_buffers: 0
counts: runtime_enter=52, runtime_exit=52, hccl_enter=2, hccl_exit=2, kernel_done=4, hccl_done=1, status=1, runtime_api_done=526
callback entries without exits in retained window: 0
completed kernels with matching Runtime API Activity correlation: 4/4
last delivered completed activity per stream:
  device=4 stream=2 #624 kernel_done corr=11 Mul_ee98c6628030785f610b924ab1557b31_high_performance_223000000
  device=4 stream=4 #293 kernel_done corr=7 MatMulV2_ND_ND_FP32_FP32_false_false_all_66257
  device=4 stream=6 #622 hccl_done corr=0 HcclAllReduce
recent observations (device start/end use msPTI clock, not host monotonic clock):
  + 11601.858ms #     541 runtime_api_done corr=35 code=249728 GetStreamMode
  + 11601.859ms #     542 runtime_api_done corr=35 code=249728 SetStreamMode
  + 11601.859ms #     543 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.863ms #     544 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.863ms #     545 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.864ms #     546 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.865ms #     547 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.866ms #     548 runtime_api_done corr=35 code=249728 NotifyCreate
  + 11601.867ms #     549 runtime_api_done corr=0 code=249795 SetDevice
  + 11601.867ms #     550 runtime_api_done corr=0 code=249796 SetDevice
  + 11601.868ms #     551 runtime_api_done corr=0 code=249797 SetDevice
  + 11601.869ms #     552 runtime_api_done corr=0 code=249725 SetDevice
  + 11621.283ms #     553 runtime_enter    corr=281469423047704 code=18 aclrtFreeHost
  + 11621.299ms #     554 runtime_exit     corr=281469423047704 code=18 aclrtFreeHost
  + 11622.931ms #     555 runtime_enter    corr=281473279629104 code=2 aclrtResetDevice
  + 11622.950ms #     556 runtime_exit     corr=281473279629104 code=2 aclrtResetDevice
  + 11630.654ms #     557 runtime_enter    corr=281469431501848 code=18 aclrtFreeHost
  + 11630.666ms #     558 runtime_exit     corr=281469431501848 code=18 aclrtFreeHost
  + 11631.672ms #     559 runtime_enter    corr=281468802683928 code=18 aclrtFreeHost
  + 11631.683ms #     560 runtime_exit     corr=281468802683928 code=18 aclrtFreeHost
  + 11633.538ms #     561 runtime_enter    corr=281473279629104 code=2 aclrtResetDevice
  + 11633.542ms #     562 runtime_exit     corr=281473279629104 code=2 aclrtResetDevice
  + 11634.491ms #     563 runtime_enter    corr=281473279629104 code=2 aclrtResetDevice
  + 11634.495ms #     564 runtime_exit     corr=281473279629104 code=2 aclrtResetDevice
  + 11634.718ms #     565 runtime_enter    corr=281468802484328 code=1 aclrtSetDevice
