file: /tmp/hang-fourcard-mspti-249457/mspti/mspti-249532.msflight
pid: 249532  records: 621  overwritten: 0  dropped_buffers: 0
counts: runtime_enter=46, runtime_exit=46, hccl_enter=2, hccl_exit=2, kernel_done=4, hccl_done=1, status=1, runtime_api_done=519
callback entries without exits in retained window: 0
completed kernels with matching Runtime API Activity correlation: 4/4
last delivered completed activity per stream:
  device=5 stream=2 #602 kernel_done corr=11 Mul_ee98c6628030785f610b924ab1557b31_high_performance_223000000
  device=5 stream=4 #265 kernel_done corr=7 MatMulV2_ND_ND_FP32_FP32_false_false_all_66257
  device=5 stream=6 #600 hccl_done corr=0 HcclAllReduce
recent observations (device start/end use msPTI clock, not host monotonic clock):
  + 12097.009ms #     593 runtime_api_done corr=31 code=249726 EventRecord
  + 12097.009ms #     594 runtime_api_done corr=31 code=249726 EventRecord
  + 12097.010ms #     595 runtime_api_done corr=31 code=249726 StreamWaitEvent
  + 12097.011ms #     596 runtime_api_done corr=31 code=249726 EventDestroy
  + 12097.011ms #     597 runtime_api_done corr=29 code=249532 StreamSyncTaskFinish
  + 12097.012ms #     598 runtime_api_done corr=29 code=249532 DeviceSynchronize
  + 12097.013ms #     599 runtime_api_done corr=29 code=249532 StreamSynchronize
  + 12097.014ms #     600 hccl_done        corr=0 device=5 stream=6 code=0 HcclAllReduce
  + 12097.015ms #     601 runtime_api_done corr=35 code=249532 MemCopySync
  + 12097.016ms #     602 kernel_done      corr=11 device=5 stream=2 code=0 Mul_ee98c6628030785f610b924ab1557b31_high_performance_223000000
  + 12097.016ms #     603 runtime_api_done corr=31 code=249726 EventRecord
  + 12097.017ms #     604 runtime_api_done corr=31 code=249726 StreamWaitEvent
  + 12097.018ms #     605 runtime_api_done corr=35 code=249532 EventCreateEx
  + 12097.019ms #     606 runtime_api_done corr=35 code=249532 EventCreateEx
  + 12097.019ms #     607 runtime_api_done corr=31 code=249726 ContextGetCurrent
  + 12097.022ms #     608 runtime_api_done corr=35 code=249532 EventRecord
  + 12097.023ms #     609 runtime_api_done corr=31 code=249726 FftsPlusTaskLaunch
  + 12097.024ms #     610 runtime_api_done corr=31 code=249726 EventRecord
  + 12097.025ms #     611 runtime_api_done corr=31 code=249726 EventRecord
  + 12097.025ms #     612 runtime_api_done corr=31 code=249726 StreamWaitEvent
  + 12097.026ms #     613 runtime_api_done corr=31 code=249726 EventDestroy
  + 12097.027ms #     614 runtime_api_done corr=0 code=249815 SetDevice
  + 12097.027ms #     615 runtime_api_done corr=0 code=249816 SetDevice
  + 12097.028ms #     616 runtime_api_done corr=0 code=249816 DeviceReset
  + 12097.029ms #     617 runtime_api_done corr=0 code=249815 DeviceReset
  + 12522.093ms #     618 runtime_enter    corr=281469968373848 code=1 aclrtSetDevice
  + 12522.136ms #     619 runtime_exit     corr=281469968373848 code=1 aclrtSetDevice
  + 12597.247ms #     620 runtime_api_done corr=0 code=249724 SetDevice
  + 12597.248ms #     621 runtime_api_done corr=31 code=249726 EventDestroy
Interpretation: *_done means a completed activity record was delivered to host; an absent record cannot prove that a kernel never ran. Callback exit means API returned, not device completion. Callback correlation IDs are not assumed reliable; match enter/exit by thread and callback ID.
